geneid	JP6pm	JP8pm	JP10pm	JPMid	JP2am	JP4am	JP6am	JP8am	JP10am	JPnoon	JP2pm	JP4pm
TRINITY_DN31201_c0_g1	0	0	0	0	8.34	0	0	2.95	10.49	0	0	0
TRINITY_DN27920_c5_g1	19.39	21.19	20.34	25.48	26.64	24.64	24.06	24.08	31.33	25.26	25.12	21.97
TRINITY_DN12351_c0_g1	31.87	18.76	33	22.33	25.33	22.96	16.95	23.94	11.59	21.06	14.63	13.22
TRINITY_DN33242_c2_g1	34.85	45.82	40.09	53.92	40.16	39	39.21	29.32	26.91	24.72	20.66	23.23
TRINITY_DN31536_c3_g1	5.31	5.9	6.27	6.52	5.64	5.25	3.87	4.35	4.17	4.66	5.67	5.4
TRINITY_DN31567_c1_g1	7.54	22.59	25.43	5.45	11.09	6.8	6.19	14.03	1.8	10.58	10.04	4.83
TRINITY_DN31567_c1_g2	2.68	3.63	2.84	3.06	3.29	3.54	2.42	3.12	3.05	2.43	2.9	2.58
TRINITY_DN28047_c1_g3	4.31	6.12	6.17	5.73	7.49	14.83	21.11	21.7	13.83	12.83	9.94	7.74
TRINITY_DN32042_c0_g1	7.62	8.57	6.61	7.33	6.94	6.47	5.6	4.55	4.75	4.74	5.16	5.71
TRINITY_DN22790_c0_g1	3.91	3.55	3.67	4.9	3.7	4.98	6.81	5.46	5.64	4.14	5.38	3.85
TRINITY_DN22816_c0_g1	4.58	5.08	5.49	4.35	2.15	1.62	0.22	0.3	0.08	0.13	0.25	0.52
TRINITY_DN30461_c0_g3	9.08	11.43	11.03	11.37	9.72	10.39	9.02	7.73	7.97	7.96	9.29	8.93
TRINITY_DN28876_c0_g2	8.34	9.47	9.39	11.15	8.53	11.33	10.46	9.38	6.11	7.96	8.29	7.19
TRINITY_DN26543_c1_g1	54.75	45.31	54.39	50.86	49.27	33.88	32.9	30.22	25.21	30.65	30.16	44.24
TRINITY_DN27164_c2_g7	1.22	3.33	3.52	5.5	1.32	3.99	2.02	0.66	0.59	1.6	1.63	0.43
TRINITY_DN28168_c0_g1	12.78	9.36	8.77	10.06	8.87	10.89	12.02	13.84	17.03	13.69	14.1	15
TRINITY_DN13975_c0_g1	0	0	5.65	3.71	0	0	5.58	0	4.74	0	0	0
TRINITY_DN29887_c2_g2	184.51	168.03	88.87	114.21	65.23	44.05	24.64	30.4	32.92	43.47	55.2	76.27
TRINITY_DN29887_c2_g1	8.05	10.81	4.48	8.17	2.3	4.73	1.52	0.73	1.08	2.87	3.74	4.46
TRINITY_DN34342_c0_g1	0	0	0	2.73	0	4.54	0	12.03	1.8	1.76	1.43	0
TRINITY_DN34342_c0_g2	1.86	3.34	0.96	1.59	1.19	0.9	0.22	0.48	2.74	1.72	2.07	2.95
TRINITY_DN34342_c0_g5	5.58	6.51	5.06	3.78	5.14	5.23	2.43	1.33	2.52	2.67	2.64	3.27
TRINITY_DN24764_c1_g2	6.12	7.78	5.31	8.17	3.65	7.34	6.99	5.52	5.86	7.57	6.49	4.45
TRINITY_DN22022_c0_g1	415.46	361.96	435.61	389.57	435.86	357.4	283.89	334.22	368.95	372.19	418.27	428.29
TRINITY_DN29160_c1_g3	18.15	20.58	23.15	24.5	22.36	25.69	19.36	16.42	18.8	19.99	21.42	18.43
TRINITY_DN29160_c1_g5	29.99	42.18	57.04	63.05	57.41	69.78	48.11	26.81	36.43	32.69	31.84	24.6
TRINITY_DN28322_c0_g2	0.82	2.24	13.4	11.5	10.35	8.96	6.62	3.69	25.37	3.73	14.93	1.44
TRINITY_DN29645_c0_g1	23.88	25.86	24.42	33.09	44.32	45.21	45.09	34.08	37.93	28.28	28.16	29.76
TRINITY_DN28322_c0_g4	1.74	2.86	3.56	2.86	3.47	4.29	1.47	1.39	0.64	0.92	0.32	1.18
TRINITY_DN29883_c0_g1	14.54	18.32	16.21	15.68	14.53	9.52	6.97	5.67	9.34	10	11.99	11.99
TRINITY_DN27767_c0_g2	7.42	6.39	7.59	8.05	6.84	6.97	7.73	7.87	9.16	11.2	11.52	10.13
TRINITY_DN20388_c0_g1	65.02	52.18	67.9	60.07	69.05	58.46	38.42	34.91	65.06	32.39	57.45	58.94
TRINITY_DN26798_c0_g11	0	0	5.24	3.42	0	0	0	2.47	2.21	0	0	3.03
TRINITY_DN28444_c0_g3	6.07	4.43	2.07	3.05	2.49	2.32	0.59	1.74	1.92	3.2	3.17	5.98
TRINITY_DN26669_c0_g1	15.04	16.36	17.03	19.12	16.13	18.16	20.79	20.26	29.68	24.13	25.51	20.14
TRINITY_DN31624_c0_g3	0.59	2.15	1.83	2.4	2.78	3.34	3.49	4.05	5.45	4.4	4.37	2.5
TRINITY_DN16693_c0_g3	0	12.6	0	0	17.2	0	0	0	0	0	0	0
TRINITY_DN18403_c0_g2	2.57	2.41	5.47	6.07	4.69	8.16	2.82	5.69	3.37	4.4	4.32	3.85
TRINITY_DN22946_c0_g4	4.88	4.42	2.03	2.83	1.81	2.32	1.98	3.57	3.47	3.56	4.58	4.68
TRINITY_DN63279_c0_g1	0	15.33	0	0	0	0	0	0	0	0	0	0
TRINITY_DN22946_c0_g1	8.01	8.99	7.14	7.16	7.65	4.25	0.87	3.75	8.06	7.57	4.48	8.45
TRINITY_DN14850_c0_g1	0	16.73	0	0	0	16.6	8.67	0	0	0	9.7	0
TRINITY_DN25104_c0_g1	1.72	2.61	1.89	1.95	2.36	1.31	1.49	1.17	1.13	1.02	1.39	0.76
TRINITY_DN37755_c0_g1	0	0	0	0.7	0.75	2.52	8.51	1.84	3.38	0.78	0.64	0.09
TRINITY_DN36221_c3_g15	37.3	51.42	71.16	84.28	44.94	66.6	44.32	24.14	12.09	34.2	19.31	22.12
TRINITY_DN35506_c2_g5	11.63	16.67	28.49	25.95	23.67	13.22	21.57	12.4	17.82	21.14	12.51	13.63
TRINITY_DN28145_c0_g1	5.12	6.91	6.82	8.16	5.43	5.5	4.19	3.36	4.08	5.31	4.3	6.1
TRINITY_DN20710_c0_g1	50.98	52.74	110.75	95.26	62.57	107.67	49.67	31.8	20.74	53.09	21.07	16.16
TRINITY_DN35938_c4_g3	2.23	3.07	3.1	2.93	1.02	1.8	2.77	1.3	1.95	1.87	1.38	4.04
TRINITY_DN35938_c4_g2	21.51	24.22	24.36	23.65	22.61	22.22	20.87	22.58	22.06	26.09	24.26	23.43
TRINITY_DN35938_c4_g1	8.58	10.08	9.63	8.82	9.26	8.91	8.56	7.51	11.93	9.36	12.44	12.23
TRINITY_DN28331_c0_g1	7.56	11.04	9.48	13.13	10.63	10.06	6.37	6.36	8.37	7.28	8.57	8.48
TRINITY_DN33973_c0_g1	6.65	2.81	13.21	7.33	3.8	1.6	8.46	4.22	6.34	4.95	8.39	1.64
TRINITY_DN33345_c0_g2	7.03	4.17	2.46	4.47	5.05	6.27	4.71	3.51	4.02	1.78	3.4	5.23
TRINITY_DN29029_c2_g10	2.62	0.48	2.04	2.33	2.63	3.55	1.47	1.04	0	1.38	0	0
TRINITY_DN29574_c2_g1	63.99	48.37	47.79	49.24	59.26	49.75	48.62	45.28	50.33	43.8	58.87	75.26
